primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,6,0,0,0,0,0,0,6,2,,6
2,10,0,0,0,0,0,0,10,4,,6
3,6,0,0,0,0,0,0,6,2,,6
4,4,0,0,0,0,0,0,4,2,,6
5,8,0,0,0,0,0,0,8,4,7,7
6,2,0,2,0,0,0,0,4,4,,4
7,8,0,0,0,0,0,0,8,4,,6
8,6,0,0,0,0,0,0,6,4,,6
9,11,0,0,0,0,0,0,0,5,9,7
10,9,0,1,0,0,0,0,10,4,,5
11,6,0,0,0,0,0,0,6,4,,6
12,8,0,0,0,0,0,0,8,2,,6
13,5,0,0,0,0,0,0,5,2,,6
14,10,0,1,0,0,0,0,11,4,,5
15,5,0,0,0,0,0,0,5,4,,6
16,7,0,0,1,0,0,0,8,2,,4
17,6,0,0,0,0,0,0,6,4,,6
18,8,0,1,0,0,0,0,9,4,7,6
19,3,0,1,1,0,0,0,5,4,,3
20,6,0,0,0,0,0,0,6,4,,6
21,2,0,0,0,0,0,0,2,4,,6
22,3,0,0,0,0,0,0,3,4,,6
23,9,0,0,0,0,0,0,9,4,,6
24,6,0,3,0,1,0,0,10,4,,4
25,6,0,0,0,0,0,0,6,4,8,6
26,4,0,2,0,0,0,0,6,4,,4
27,8,0,0,0,0,0,0,8,4,,6
28,7,0,0,2,0,0,0,9,4,,4
29,2,0,0,0,0,0,0,2,4,,6
30,6,0,0,0,0,0,0,6,4,7,6
31,6,0,0,0,0,0,0,6,2,,6
32,6,0,0,0,0,0,0,6,2,,6
33,3,0,4,0,0,0,0,7,4,,4
34,3,0,3,0,0,0,0,6,4,6,4
35,6,0,0,0,0,0,0,6,4,,6
36,6,0,0,0,0,0,0,6,4,,6
37,7,0,0,0,0,1,0,8,2,,5
38,9,0,0,0,0,0,0,9,4,,6
39,9,0,0,0,0,1,0,10,4,,5
40,7,0,0,0,0,0,1,8,4,,4
41,6,0,0,0,0,0,0,6,4,,6
42,11,0,0,0,0,0,0,11,4,,6
43,9,0,1,0,0,0,0,10,4,,5
44,4,0,2,0,1,0,0,7,4,,4
45,4,0,2,0,0,0,0,6,4,,4
46,6,0,0,0,0,0,0,6,5,10,7
47,2,0,1,0,0,0,0,3,4,,4
48,8,0,0,0,0,0,0,8,2,,6
49,8,0,0,0,0,0,0,8,4,,6
50,4,0,0,0,0,0,0,4,4,,6
51,7,0,0,0,0,0,0,7,4,,6
52,3,0,1,0,0,0,0,4,4,,5
53,2,0,0,0,0,0,0,2,2,,6
54,2,0,1,0,0,0,0,3,4,,4
55,2,0,1,0,0,0,0,3,4,,4
56,7,0,0,0,0,0,0,7,4,,6
57,8,0,0,0,0,0,0,8,4,,6
58,4,0,0,0,0,0,0,4,4,,6
59,6,0,1,0,0,0,0,7,4,,5
60,5,0,0,0,0,0,0,5,5,9,7
61,4,0,0,0,0,0,0,4,4,,6
62,6,0,0,0,0,0,0,6,4,,6
63,10,0,0,0,0,0,0,10,4,,6
64,6,0,0,0,0,0,0,6,5,10,7
65,7,0,0,0,0,0,0,7,5,10,7
66,2,0,3,1,0,0,0,6,4,,3
67,8,0,1,0,0,0,0,9,2,,5
68,6,0,0,0,0,0,0,6,2,,6
69,8,0,0,1,0,0,0,9,4,,5
70,9,0,1,0,0,0,0,10,4,,5
