primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,4,0,1,0,0,0,0,5,2,,
2,10,0,0,0,0,0,0,10,4,,
3,6,0,0,0,0,0,0,6,4,6,
4,8,0,0,0,0,0,0,8,4,,
5,6,0,0,0,0,0,0,6,2,5,
6,4,0,0,0,0,0,0,4,2,,
7,5,0,0,0,0,0,0,5,4,,
8,8,0,0,0,1,0,0,9,4,,
9,7,0,0,0,0,0,0,7,2,,
10,4,0,0,0,0,0,0,4,5,9,
11,10,0,0,0,0,0,0,10,4,,
12,7,0,0,0,0,0,0,7,4,,
13,8,0,0,0,0,0,0,8,4,,
14,6,0,0,0,0,0,0,6,2,,
15,3,0,1,0,0,0,0,4,4,,
16,6,0,4,0,0,0,0,10,4,,
17,3,0,0,0,0,0,0,3,4,,
18,1,0,1,1,0,0,0,3,4,,
19,4,0,0,0,0,0,0,4,4,,
20,4,0,0,0,0,0,0,4,2,,
21,6,0,1,0,0,0,0,7,4,,
22,6,0,0,0,0,0,0,6,4,,
23,5,0,1,0,0,0,0,6,4,,
24,3,0,2,0,0,0,0,5,2,,
25,4,0,0,0,0,0,0,4,2,,
26,2,0,0,0,0,0,0,2,2,,
27,2,0,0,0,0,0,0,2,4,,
28,2,0,0,0,0,0,0,2,2,,
29,7,0,0,0,0,0,0,7,4,,
30,4,0,3,1,0,0,0,8,4,,
31,2,0,1,0,0,0,0,3,4,,
32,8,0,0,0,0,0,0,8,4,,
33,6,0,0,0,0,0,0,6,4,,
34,5,0,0,0,0,0,0,5,4,8,
35,11,0,0,0,0,0,0,11,4,,
36,5,0,0,0,0,0,0,5,4,,
37,8,0,0,0,0,1,0,9,4,,
38,5,0,0,0,0,0,0,5,2,,
39,6,0,0,0,0,0,0,6,4,,
40,6,0,0,0,0,0,0,6,2,7,
41,7,0,0,0,0,0,0,7,4,,
42,6,0,0,0,0,0,0,6,4,,
43,5,0,0,1,0,0,0,6,2,,
44,6,0,0,0,0,0,0,6,4,8,
45,6,0,0,0,0,0,0,6,4,,
46,8,0,0,0,0,0,0,8,4,,
47,5,0,0,0,0,1,0,6,4,,
48,3,0,0,0,0,0,0,3,4,,
49,8,0,0,0,0,0,0,8,4,,
50,4,0,0,0,0,0,0,4,2,,
51,3,0,1,0,0,0,0,4,2,,
52,4,0,0,0,0,0,0,4,4,,
53,3,0,0,0,0,0,0,3,4,,
54,1,0,2,0,0,0,0,3,4,,
55,6,0,0,0,0,0,0,6,2,5,
56,2,0,2,0,0,0,1,5,2,,
57,4,0,0,1,0,0,0,5,4,,
58,4,0,0,0,0,0,0,4,4,,
59,4,0,0,0,0,0,0,4,2,,
60,6,0,1,0,0,0,0,7,2,,
61,4,0,2,0,0,0,0,6,4,,
62,7,0,0,0,0,0,0,7,4,,
63,5,0,0,0,0,0,0,5,4,,
64,4,0,2,1,0,0,1,8,2,,
65,6,0,0,0,0,0,0,6,2,7,
66,6,0,0,0,0,0,0,6,4,,
67,6,0,0,0,0,0,0,6,2,5,
68,8,0,0,0,0,0,0,8,4,5,
69,6,0,0,0,0,0,0,6,5,9,
70,6,0,0,0,0,0,0,6,4,7,
71,10,0,0,0,0,0,0,10,4,,
72,7,0,0,0,0,0,0,7,4,,
73,6,0,0,0,0,0,0,6,4,,
74,7,0,1,0,0,0,0,8,4,,
75,6,0,0,0,0,0,0,6,4,,
76,3,0,0,0,0,0,0,3,4,,
77,4,0,0,1,0,0,1,6,2,,
78,2,0,0,0,0,0,0,2,4,,
79,8,0,0,0,1,0,0,9,4,,
80,2,0,0,1,0,0,0,3,4,,
81,8,0,0,0,0,0,0,8,2,,
82,7,0,0,0,0,0,0,7,4,,
83,2,0,0,0,0,0,0,2,4,,
84,6,0,0,0,0,0,0,6,5,9,
85,9,0,0,0,0,0,0,9,4,,
86,5,0,0,0,0,0,0,5,2,,
87,4,0,0,0,0,0,0,4,2,,
88,6,0,0,0,0,0,0,6,2,,
89,0,0,6,0,0,0,0,6,4,,
90,5,0,1,0,0,0,0,6,4,,
91,3,0,0,0,0,0,0,3,4,,
92,8,0,0,0,0,0,0,8,4,,
93,2,0,1,0,0,0,0,3,4,,
94,7,0,0,0,0,0,0,7,4,,
95,5,0,0,0,0,0,0,5,2,,
96,6,0,0,0,0,0,0,6,4,,
97,5,0,0,0,0,0,0,5,4,,
98,4,0,1,0,0,0,0,5,4,,
99,5,0,0,0,0,0,0,5,4,,
100,2,0,0,0,0,0,0,2,4,,
101,9,0,0,0,0,0,0,9,2,,
102,8,0,1,0,0,0,0,9,4,,
103,6,0,0,0,0,0,0,6,4,,
104,6,0,0,0,0,0,0,6,4,,
105,10,0,0,0,0,0,0,10,4,,
106,7,0,0,0,0,0,0,7,4,,
107,6,0,0,0,0,0,0,6,4,,
108,6,0,0,0,0,0,0,6,4,4,
109,6,0,0,0,0,0,0,6,5,10,
110,6,0,0,0,0,0,0,6,4,,
111,3,0,0,0,0,0,0,3,4,,
112,3,0,0,0,0,0,0,3,4,,
113,4,0,4,0,0,0,0,8,4,,
114,3,0,0,0,0,0,0,3,4,,
115,6,0,0,0,0,0,0,6,4,,
116,3,0,0,0,0,0,0,3,4,,
117,6,0,0,0,0,0,0,6,4,8,
118,2,0,0,0,0,0,0,2,4,,
119,4,0,0,0,0,0,0,4,4,,
120,1,0,0,0,0,0,0,1,4,,
121,10,0,1,0,0,0,0,11,2,,
122,1,0,1,0,0,0,0,2,4,,
123,9,0,0,0,0,0,0,9,4,,
124,3,0,0,1,0,0,2,6,2,,
125,9,0,2,0,0,0,0,11,4,,
126,5,0,0,0,0,0,0,5,4,,
127,1,0,0,0,0,0,0,1,2,,
128,6,0,0,0,0,0,0,6,4,,
129,3,0,0,0,0,0,0,3,3,,
130,4,0,1,0,0,0,0,5,4,,
131,8,0,0,0,0,0,0,8,4,,
132,11,0,0,0,0,0,0,11,4,,
133,8,0,0,0,0,0,0,8,4,,
134,2,0,1,0,1,0,0,4,4,,
135,3,0,0,0,0,0,0,3,4,,
