primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,4,0,1,0,0,0,0,5,2,,5
2,10,0,0,0,0,0,0,10,4,,6
3,6,0,0,0,0,0,0,6,4,6,6
4,8,0,0,0,0,0,0,8,4,,6
5,6,0,0,0,0,0,0,6,2,5,6
6,4,0,0,0,0,0,0,4,2,,6
7,5,0,0,0,0,0,0,5,4,,6
8,8,0,0,0,1,0,0,9,4,,5
9,7,0,0,0,0,0,0,7,2,,6
10,4,0,0,0,0,0,0,4,5,9,7
11,10,0,0,0,0,0,0,10,4,,6
12,7,0,0,0,0,0,0,7,4,,6
13,8,0,0,0,0,0,0,8,4,,6
14,6,0,0,0,0,0,0,6,2,,6
15,3,0,1,0,0,0,0,4,4,,5
16,6,0,4,0,0,0,0,10,4,,4
17,3,0,0,0,0,0,0,3,4,,6
18,1,0,1,1,0,0,0,3,4,,3
19,4,0,0,0,0,0,0,4,4,,6
20,4,0,0,0,0,0,0,4,2,,6
21,6,0,1,0,0,0,0,7,4,,5
22,6,0,0,0,0,0,0,6,4,,6
23,5,0,1,0,0,0,0,6,4,,5
24,3,0,2,0,0,0,0,5,2,,4
25,4,0,0,0,0,0,0,4,2,,6
26,2,0,0,0,0,0,0,2,2,,6
27,2,0,0,0,0,0,0,2,4,,6
28,2,0,0,0,0,0,0,2,2,,6
29,7,0,0,0,0,0,0,7,4,,6
30,4,0,3,1,0,0,0,8,4,,4
31,2,0,1,0,0,0,0,3,4,,5
32,8,0,0,0,0,0,0,8,4,,6
33,6,0,0,0,0,0,0,6,4,,6
34,5,0,0,0,0,0,0,5,4,8,6
35,11,0,0,0,0,0,0,11,4,,6
36,5,0,0,0,0,0,0,5,4,,6
37,8,0,0,0,0,1,0,9,4,,5
38,5,0,0,0,0,0,0,5,2,,6
39,6,0,0,0,0,0,0,6,4,,6
40,6,0,0,0,0,0,0,6,2,7,6
41,7,0,0,0,0,0,0,7,4,,6
42,6,0,0,0,0,0,0,6,4,,6
43,5,0,0,1,0,0,0,6,2,,5
44,6,0,0,0,0,0,0,6,4,8,6
45,6,0,0,0,0,0,0,6,4,,6
46,8,0,0,0,0,0,0,8,4,,6
47,5,0,0,0,0,1,0,6,4,,5
48,3,0,0,0,0,0,0,3,4,,6
49,8,0,0,0,0,0,0,8,4,,6
50,4,0,0,0,0,0,0,4,2,,6
51,3,0,1,0,0,0,0,4,2,,5
52,4,0,0,0,0,0,0,4,4,,6
53,3,0,0,0,0,0,0,3,4,,6
54,1,0,2,0,0,0,0,3,4,,4
55,6,0,0,0,0,0,0,6,2,5,6
56,2,0,2,0,0,0,1,5,2,,4
57,4,0,0,1,0,0,0,5,4,,5
58,4,0,0,0,0,0,0,4,4,,6
59,4,0,0,0,0,0,0,4,2,,6
60,6,0,1,0,0,0,0,7,2,,5
61,4,0,2,0,0,0,0,6,4,,4
62,7,0,0,0,0,0,0,7,4,,6
63,5,0,0,0,0,0,0,5,4,,6
64,4,0,2,1,0,0,1,8,2,,3
65,6,0,0,0,0,0,0,6,2,7,6
66,6,0,0,0,0,0,0,6,4,,6
67,6,0,0,0,0,0,0,6,2,5,6
68,8,0,0,0,0,0,0,8,4,5,6
69,6,0,0,0,0,0,0,6,5,9,7
70,6,0,0,0,0,0,0,6,4,7,6
71,10,0,0,0,0,0,0,10,4,,6
72,7,0,0,0,0,0,0,7,4,,6
73,6,0,0,0,0,0,0,6,4,,6
74,7,0,1,0,0,0,0,8,4,,5
75,6,0,0,0,0,0,0,6,4,,6
76,3,0,0,0,0,0,0,3,4,,6
77,4,0,0,1,0,0,1,6,2,,4
78,2,0,0,0,0,0,0,2,4,,6
79,8,0,0,0,1,0,0,9,4,,5
80,2,0,0,1,0,0,0,3,4,,5
81,8,0,0,0,0,0,0,8,2,,6
82,7,0,0,0,0,0,0,7,4,,6
83,2,0,0,0,0,0,0,2,4,,6
84,6,0,0,0,0,0,0,6,5,9,7
85,9,0,0,0,0,0,0,9,4,,6
86,5,0,0,0,0,0,0,5,2,,6
87,4,0,0,0,0,0,0,4,2,,6
88,6,0,0,0,0,0,0,6,2,,6
89,0,0,6,0,0,0,0,6,4,,3
90,5,0,1,0,0,0,0,6,4,,5
91,3,0,0,0,0,0,0,3,4,,6
92,8,0,0,0,0,0,0,8,4,,6
93,2,0,1,0,0,0,0,3,4,,5
94,7,0,0,0,0,0,0,7,4,,6
95,5,0,0,0,0,0,0,5,2,,6
96,6,0,0,0,0,0,0,6,4,,6
97,5,0,0,0,0,0,0,5,4,,6
98,4,0,1,0,0,0,0,5,4,,5
99,5,0,0,0,0,0,0,5,4,,6
100,2,0,0,0,0,0,0,2,4,,6
101,9,0,0,0,0,0,0,9,2,,6
102,8,0,1,0,0,0,0,9,4,,5
103,6,0,0,0,0,0,0,6,4,,6
104,6,0,0,0,0,0,0,6,4,,6
105,10,0,0,0,0,0,0,10,4,,6
106,7,0,0,0,0,0,0,7,4,,6
107,6,0,0,0,0,0,0,6,4,,6
108,6,0,0,0,0,0,0,6,4,4,6
109,6,0,0,0,0,0,0,6,5,10,7
110,6,0,0,0,0,0,0,6,4,,6
111,3,0,0,0,0,0,0,3,4,,6
112,3,0,0,0,0,0,0,3,4,,6
113,4,0,4,0,0,0,0,8,4,,4
114,3,0,0,0,0,0,0,3,4,,6
115,6,0,0,0,0,0,0,6,4,,6
116,3,0,0,0,0,0,0,3,4,,6
117,6,0,0,0,0,0,0,6,4,8,6
118,2,0,0,0,0,0,0,2,4,,6
119,4,0,0,0,0,0,0,4,4,,6
120,1,0,0,0,0,0,0,1,4,,6
121,10,0,1,0,0,0,0,11,2,,5
122,1,0,1,0,0,0,0,2,4,,5
123,9,0,0,0,0,0,0,9,4,,6
124,3,0,0,1,0,0,2,6,2,,3
125,9,0,2,0,0,0,0,11,4,,5
126,5,0,0,0,0,0,0,5,4,,6
127,1,0,0,0,0,0,0,1,2,,6
128,6,0,0,0,0,0,0,6,4,,6
129,3,0,0,0,0,0,0,3,3,,6
130,4,0,1,0,0,0,0,5,4,,5
131,8,0,0,0,0,0,0,8,4,,6
132,11,0,0,0,0,0,0,11,4,,6
133,8,0,0,0,0,0,0,8,4,,6
134,2,0,1,0,1,0,0,4,4,,4
135,3,0,0,0,0,0,0,3,4,,6
136,4,0,2,0,0,0,0,6,2,,4
137,9,0,0,0,0,0,0,9,4,,6
138,7,0,0,0,0,0,0,7,4,,6
139,8,0,0,0,0,0,0,8,4,,6
140,4,0,0,0,0,0,1,5,4,,5
141,5,0,0,0,0,0,0,5,2,,6
142,6,0,0,0,0,0,0,6,5,9,7
143,6,0,0,0,0,0,0,6,4,8,6
144,8,0,0,0,0,1,0,9,2,,5
145,6,0,0,0,0,0,0,6,2,,6
146,6,0,0,0,0,0,0,6,2,,6
147,4,0,0,0,0,0,0,4,4,,6
148,6,0,0,0,0,0,0,6,4,,6
149,2,0,1,0,0,0,0,3,4,,5
150,2,0,1,0,0,0,0,3,4,,5
151,8,0,0,0,0,1,0,9,4,,5
152,7,0,0,0,0,0,0,7,4,,6
153,4,0,0,0,0,0,0,4,4,,6
154,5,0,0,0,0,0,0,5,2,,6
155,6,0,0,0,0,0,0,6,4,,6
156,4,0,2,0,0,0,0,6,4,,4
157,7,0,0,1,0,0,0,8,4,,5
158,7,0,1,0,0,0,0,8,4,,5
159,3,0,1,0,0,0,0,4,2,,5
160,6,0,0,0,0,0,0,6,2,7,6
161,5,0,0,0,0,0,0,5,4,,6
162,4,0,0,0,0,0,2,6,4,,4
163,2,0,1,0,0,0,0,3,4,,5
164,7,0,0,0,0,0,0,7,4,,6
165,6,0,0,0,0,0,0,6,4,,6
