primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,6,0,0,0,0,0,0,6,2,,
2,10,0,0,0,0,0,0,10,4,,
3,6,0,0,0,0,0,0,6,2,,
4,4,0,0,0,0,0,0,4,2,,
5,8,0,0,0,0,0,0,8,4,7,
6,2,0,2,0,0,0,0,4,4,,
7,8,0,0,0,0,0,0,8,4,,
8,6,0,0,0,0,0,0,6,4,,
9,11,0,0,0,0,0,0,0,5,9,
10,9,0,1,0,0,0,0,10,4,,
11,6,0,0,0,0,0,0,6,4,,
12,8,0,0,0,0,0,0,8,2,,
13,5,0,0,0,0,0,0,5,2,,
14,10,0,1,0,0,0,0,11,4,,
15,5,0,0,0,0,0,0,5,4,,
16,7,0,0,1,0,0,0,8,2,,
17,6,0,0,0,0,0,0,6,4,,
18,8,0,1,0,0,0,0,9,4,7,
19,3,0,1,1,0,0,0,5,4,,
20,6,0,0,0,0,0,0,6,4,,
21,2,0,0,0,0,0,0,2,4,,
22,3,0,0,0,0,0,0,3,4,,
23,9,0,0,0,0,0,0,9,4,,
24,6,0,3,0,1,0,0,10,4,,
25,6,0,0,0,0,0,0,6,4,8,
26,4,0,2,0,0,0,0,6,4,,
27,8,0,0,0,0,0,0,8,4,,
28,7,0,0,2,0,0,0,9,4,,
29,2,0,0,0,0,0,0,2,4,,
30,6,0,0,0,0,0,0,6,4,7,
31,6,0,0,0,0,0,0,6,2,,
32,6,0,0,0,0,0,0,6,2,,
33,3,0,4,0,0,0,0,7,4,,
34,3,0,3,0,0,0,0,6,4,6,
35,6,0,0,0,0,0,0,6,4,,
36,6,0,0,0,0,0,0,6,4,,
37,7,0,0,0,0,1,0,8,2,,
38,9,0,0,0,0,0,0,9,4,,
39,9,0,0,0,0,1,0,10,4,,
40,7,0,0,0,0,0,1,8,4,,
41,6,0,0,0,0,0,0,6,4,,
42,11,0,0,0,0,0,0,11,4,,
43,9,0,1,0,0,0,0,10,4,,
44,4,0,2,0,1,0,0,7,4,,
45,4,0,2,0,0,0,0,6,4,,
46,6,0,0,0,0,0,0,6,5,10,
47,2,0,1,0,0,0,0,3,4,,
48,8,0,0,0,0,0,0,8,2,,
49,8,0,0,0,0,0,0,8,4,,
50,4,0,0,0,0,0,0,4,4,,
51,7,0,0,0,0,0,0,7,4,,
52,3,0,1,0,0,0,0,4,4,,
53,2,0,0,0,0,0,0,2,2,,
54,2,0,1,0,0,0,0,3,4,,
55,2,0,1,0,0,0,0,3,4,,
56,7,0,0,0,0,0,0,7,4,,
57,8,0,0,0,0,0,0,8,4,,
58,4,0,0,0,0,0,0,4,4,,
59,6,0,1,0,0,0,0,7,4,,
60,5,0,0,0,0,0,0,5,5,9,
61,4,0,0,0,0,0,0,4,4,,
62,6,0,0,0,0,0,0,6,4,,
63,10,0,0,0,0,0,0,10,4,,
64,6,0,0,0,0,0,0,6,5,10,
65,7,0,0,0,0,0,0,7,5,10,
66,2,0,3,1,0,0,0,6,4,,
67,8,0,1,0,0,0,0,9,2,,
68,6,0,0,0,0,0,0,6,2,,
69,8,0,0,1,0,0,0,9,4,,
70,9,0,1,0,0,0,0,10,4,,
71,6,0,0,0,0,0,0,6,2,,
72,5,0,0,0,1,0,0,6,4,,
73,7,0,0,0,0,0,0,7,2,6,
74,9,0,0,0,0,0,0,9,4,,
75,8,0,0,0,0,0,0,8,4,,
76,9,0,0,0,0,0,0,9,4,,
77,7,0,0,0,0,0,0,7,5,9,
78,6,0,0,0,0,0,0,6,4,,
79,2,0,4,0,1,0,0,7,4,,
80,1,1,2,0,0,0,0,4,4,6,
81,5,0,0,0,0,0,0,5,4,,
82,4,0,0,0,0,0,0,4,4,,
83,14,0,0,0,0,0,0,14,4,,
84,1,0,1,0,0,0,0,2,4,,
85,5,0,0,0,0,0,0,5,4,,
86,7,0,0,0,0,0,0,7,4,,
87,7,0,0,0,0,0,0,7,2,,
88,7,0,0,0,0,0,0,7,4,,
89,7,0,0,0,0,0,0,7,4,,
90,6,0,1,0,0,0,0,7,4,,
91,5,0,0,0,0,0,0,5,4,,
92,5,0,1,0,0,0,0,6,4,,
93,4,0,0,0,0,0,0,4,4,,
94,6,0,0,0,0,0,0,6,4,,
95,5,0,1,0,0,0,0,6,4,,
96,3,0,3,0,0,0,0,6,4,,
97,9,0,1,0,0,0,0,10,3,6,
98,6,0,0,0,0,0,0,6,4,,
99,8,0,2,0,0,0,0,10,4,,
100,5,0,1,0,0,0,1,7,2,6,
101,2,0,5,0,0,0,0,7,4,,
102,4,0,0,0,0,0,0,4,4,,
103,5,0,1,0,0,0,0,6,4,,
104,8,0,0,0,0,0,0,8,4,,
105,5,0,0,0,0,0,0,5,4,,
106,2,0,0,0,0,0,0,2,5,10,
107,5,0,0,0,0,0,0,5,4,,
108,4,0,0,0,0,0,0,4,4,,
109,3,0,1,0,0,0,0,4,2,,
110,6,0,0,1,0,0,0,7,2,,
111,5,0,1,0,0,0,0,6,4,,
112,8,0,1,1,0,0,0,10,4,,
113,6,0,2,0,0,0,0,8,4,8,
114,5,0,0,0,0,0,0,5,4,,
115,7,0,0,1,0,0,0,8,4,,
116,9,0,1,0,0,0,0,10,4,,
117,6,0,0,0,0,0,0,6,2,,
118,8,0,0,0,0,0,1,9,4,,
119,5,0,1,0,0,0,0,6,4,,
120,3,0,0,0,0,0,0,3,4,,
121,3,0,0,0,0,0,0,3,4,,
122,6,0,0,0,0,0,0,6,4,,
123,7,0,0,0,0,0,0,7,4,,
124,6,0,0,0,0,0,0,6,4,,
125,8,0,0,0,0,0,0,8,4,,
126,8,0,0,0,0,0,0,8,4,,
127,9,0,1,0,0,0,0,10,4,,
128,6,0,0,0,0,0,0,6,4,,
129,7,0,0,0,0,0,0,7,4,,
130,6,0,0,0,0,0,0,6,4,,
131,6,0,0,0,0,0,0,6,2,,
132,4,0,0,0,0,0,0,4,4,,
133,6,0,1,0,0,0,0,7,4,,
134,5,0,0,0,0,0,0,5,4,,
135,5,0,1,0,0,0,0,6,4,,
136,4,0,0,0,0,0,0,4,4,,
137,6,0,0,0,0,0,0,6,4,,
138,6,0,0,0,0,0,0,6,4,,
139,5,0,1,0,0,0,0,6,4,7,
140,5,0,0,0,1,0,0,6,4,,
141,0,0,2,0,0,0,0,2,2,,
142,1,0,2,0,0,0,0,3,4,,
143,4,0,2,0,0,0,0,6,4,,
144,4,0,1,1,0,0,0,6,4,7,
145,3,0,0,0,0,0,0,3,4,,
146,6,0,1,0,0,0,0,7,2,,
147,5,0,0,0,0,0,0,5,4,,
148,6,0,0,0,0,0,0,6,5,9,
149,3,0,3,0,0,0,0,6,5,9,
150,6,0,0,0,0,0,0,6,5,9,
151,10,0,2,0,1,0,0,13,2,,
152,9,0,0,0,0,0,0,9,4,,
153,9,0,1,0,0,0,0,10,3,,
154,5,0,0,0,0,0,0,5,4,,
155,7,0,3,1,1,0,0,12,4,,
156,6,0,0,0,0,0,0,6,4,,
157,6,0,0,0,0,0,0,6,2,3,
158,1,0,0,0,0,0,0,1,4,,
159,6,0,0,0,0,0,0,6,4,,
160,6,0,0,0,0,0,0,6,2,,
