primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,5,0,0,0,0,0,0,5,4,,
2,7,0,0,0,0,0,0,7,5,10,
3,5,0,0,0,0,0,0,5,4,,
4,3,0,0,0,0,0,0,3,4,,
5,3,0,0,0,0,0,0,3,4,,
6,2,0,0,0,0,0,0,2,4,,
7,8,0,4,0,0,0,0,12,4,,
8,4,0,0,0,0,0,0,4,4,,
9,6,0,0,0,0,0,0,6,4,,
10,5,0,0,0,0,0,0,5,4,,
11,10,0,0,0,0,0,0,10,4,,
12,11,0,0,0,0,0,0,11,4,,
13,2,0,0,0,0,0,0,2,4,,
14,6,0,0,0,0,0,0,6,4,,
15,6,0,0,0,0,0,0,6,4,,
16,4,0,0,0,0,0,0,4,4,,
17,8,0,0,0,0,0,0,8,4,,
18,6,0,0,1,0,0,0,7,4,,
19,5,0,0,0,0,0,0,5,4,,
20,4,0,0,0,0,0,0,4,4,,
21,7,0,0,0,1,0,0,8,4,,
22,8,0,0,0,0,0,0,8,4,,
23,4,0,0,0,0,0,0,4,4,,
24,7,0,1,0,0,0,0,8,4,,
25,3,0,1,0,0,0,0,4,4,,
26,8,0,0,0,0,0,0,8,4,,
27,4,0,0,0,0,0,0,4,4,,
28,6,0,1,0,0,1,0,8,4,,
29,1,0,0,0,0,0,0,1,4,,
30,7,0,0,0,0,0,0,7,4,,
31,13,0,0,0,0,0,0,13,4,,
32,2,0,0,0,0,0,0,2,4,,
33,13,0,0,0,0,0,0,13,4,,
34,7,0,0,0,0,0,0,7,2,,
35,9,0,0,0,0,0,0,9,4,,
36,8,0,0,0,0,0,0,8,2,,
37,5,0,1,0,0,0,0,6,4,,
38,3,0,0,0,0,0,0,3,4,,
39,6,0,2,1,0,0,0,9,4,,
40,3,0,0,0,0,0,1,4,4,,
41,6,0,0,0,0,0,0,6,4,,
42,5,0,0,0,0,0,0,5,4,,
43,4,0,0,0,0,0,0,4,2,,
44,5,0,2,0,0,0,0,7,4,8,
45,8,0,0,0,0,0,0,8,5,9,
46,3,0,0,0,0,0,0,3,2,,
47,10,0,0,0,0,0,0,10,4,,
48,7,0,0,0,0,0,0,7,4,,
49,11,0,0,0,0,0,0,11,4,,
50,7,0,0,0,0,0,0,7,4,,
51,6,0,0,0,0,0,0,6,5,10,
52,6,0,0,0,0,0,0,6,5,9,
53,4,0,0,0,0,0,0,4,4,,
54,3,0,0,0,0,0,0,3,4,,
55,6,0,0,0,0,0,0,6,4,,
56,6,0,0,0,0,0,0,6,4,,
57,5,0,0,0,0,0,0,5,4,,
58,5,0,2,0,0,0,0,7,4,8,
59,8,0,0,0,0,0,0,8,5,9,
60,11,0,0,0,0,0,0,11,4,,
61,7,0,0,0,0,0,0,7,4,,
62,6,0,0,0,0,0,0,6,5,10,
63,6,0,0,0,0,0,0,6,5,9,
64,6,0,0,0,0,0,0,6,4,,
65,6,0,0,0,0,0,0,6,4,,
66,2,0,1,0,0,0,0,3,4,,
67,2,0,0,0,0,0,0,2,2,,
68,6,0,0,0,0,0,0,6,4,,
69,3,0,1,0,0,0,0,4,4,,
70,3,0,0,0,0,0,0,3,4,,
71,2,0,4,0,0,0,0,6,4,,
72,9,0,0,0,0,0,0,9,4,,
73,5,0,1,0,0,0,0,6,4,,
74,6,0,0,0,0,0,0,6,4,,
75,3,0,0,0,0,0,0,3,4,,
76,7,0,0,0,0,0,0,7,4,,
77,5,0,1,0,0,0,0,6,4,7,
78,4,0,0,0,0,0,0,4,4,,
79,3,0,0,0,0,0,0,3,4,,
80,7,0,0,0,1,0,0,8,4,,
81,4,0,0,0,0,0,0,4,4,,
82,9,0,0,0,0,0,0,9,2,,
83,8,0,0,0,0,0,0,8,4,,
84,6,0,0,0,0,0,0,6,4,,
85,8,0,0,0,0,0,0,8,4,,
86,5,0,0,0,0,0,0,5,4,,
87,3,0,0,0,0,0,0,3,4,,
88,2,0,0,0,0,0,0,2,2,,
89,6,0,0,0,0,0,0,6,4,,
90,2,0,4,0,0,0,0,6,4,,
91,10,0,0,0,0,0,0,10,4,,
92,6,0,0,0,0,0,0,6,4,,
93,5,0,1,0,0,0,0,6,4,7,
94,3,0,0,0,0,0,0,3,4,,
95,7,0,0,0,1,0,0,8,4,,
96,8,0,0,0,0,0,0,8,2,,
97,6,0,0,0,0,0,0,6,4,,
98,8,0,0,0,0,0,0,8,4,,
99,5,0,0,0,0,0,0,5,4,,
100,8,0,0,0,0,0,0,8,4,,
101,4,0,0,0,0,0,0,4,4,,
102,6,0,1,0,0,0,0,7,4,,
103,6,0,0,0,0,0,0,6,4,,
104,6,0,0,0,0,0,0,6,4,,
105,6,0,0,0,0,0,0,6,4,,
106,3,0,1,0,0,0,0,4,4,,
107,3,0,0,0,0,0,0,3,4,,
108,7,0,0,0,0,0,0,7,4,,
109,6,0,0,0,0,0,0,6,5,10,
110,2,0,0,0,0,0,0,2,4,,
111,3,0,1,0,0,1,0,5,4,,
112,5,0,0,0,0,0,0,5,4,,
113,11,0,0,0,0,0,0,11,4,,
114,7,0,0,0,0,0,0,7,4,,
115,3,0,0,0,0,0,0,3,4,,
116,1,0,0,0,0,0,0,1,4,,
117,7,0,0,0,0,0,0,7,4,,
118,8,0,0,0,0,0,0,8,4,,
119,6,0,0,0,0,0,0,6,4,7,
120,5,0,1,0,0,0,0,6,4,,
121,5,0,0,0,0,0,0,5,5,9,
122,6,0,0,0,0,0,0,6,4,,
123,6,0,1,0,0,0,0,7,4,,
124,2,0,0,0,0,0,0,2,4,,
125,3,0,0,0,0,0,0,3,4,,
126,4,0,0,0,0,0,0,4,4,,
127,6,0,0,0,0,0,1,7,4,,
128,6,0,0,0,0,0,0,6,4,,
129,6,0,0,0,0,0,0,6,4,,
130,6,0,0,0,0,0,0,6,4,,
131,3,0,1,0,0,0,0,4,4,,
132,3,0,0,0,0,0,0,3,4,,
133,6,0,0,0,0,0,0,6,5,10,
134,2,0,0,0,0,0,0,2,4,,
135,5,0,0,0,0,0,0,5,4,,
136,8,0,0,0,0,0,0,8,4,,
137,7,0,0,1,0,0,1,9,4,,
138,3,0,4,2,0,0,0,9,4,,
139,9,0,0,0,0,0,0,9,4,,
140,5,0,0,0,0,0,0,5,5,9,
141,10,0,1,0,0,0,0,11,4,,
142,6,0,0,0,0,0,0,6,2,,
143,3,0,0,0,0,0,0,3,4,,
144,5,0,0,0,0,0,0,5,4,,
145,5,0,0,0,0,0,0,5,4,,
146,6,0,0,0,0,0,0,6,4,,
147,2,0,0,0,0,0,0,2,4,,
148,5,0,0,0,0,0,0,5,2,,
149,10,0,0,0,0,0,0,10,5,10,
150,10,0,0,0,0,0,0,10,4,,
151,2,0,0,0,0,0,0,2,4,,
152,6,0,0,0,0,0,0,6,2,,
153,6,0,0,0,0,0,0,6,4,,
154,6,0,0,0,0,0,0,6,4,,
155,1,0,0,0,0,0,0,1,2,,
156,6,0,2,0,0,0,0,8,4,,
157,6,0,0,0,0,0,0,6,4,,
158,6,0,0,0,0,0,0,6,4,,
159,2,0,0,0,0,0,0,2,2,,
160,5,0,0,0,0,0,0,5,4,,
161,8,0,0,0,0,0,0,8,4,,
162,6,0,0,0,0,0,0,6,4,7,
163,5,0,0,0,0,0,0,5,5,9,
164,6,0,0,0,0,0,0,6,4,,
165,6,0,0,0,0,0,0,6,4,,
166,2,0,0,0,0,0,0,2,4,,
167,9,0,0,0,0,0,0,9,4,,
168,5,0,0,0,0,0,0,5,5,9,
169,6,0,0,0,0,0,0,6,2,,
170,3,0,0,0,0,0,0,3,4,,
171,6,0,0,0,0,0,1,7,4,,
172,10,0,0,0,0,0,0,10,5,10,
173,5,0,0,0,0,0,0,5,4,,
174,5,0,3,0,0,0,0,8,4,,
175,3,0,0,0,0,0,0,3,4,,
176,4,0,0,0,0,0,0,4,4,,
177,11,0,0,0,0,0,0,11,4,,
178,8,0,0,0,0,0,0,8,4,,
179,6,0,0,0,0,0,0,6,4,,
180,7,0,0,0,0,0,0,7,2,,
181,8,0,0,0,0,0,0,8,4,,
182,3,0,2,0,0,0,0,5,4,,
183,3,0,0,0,0,0,0,3,4,,
184,3,0,0,0,0,0,1,4,4,,
185,2,0,2,0,0,0,0,4,4,,
186,4,0,0,0,0,1,0,5,4,,
187,4,0,0,0,0,0,0,4,4,,
188,6,0,0,0,1,0,0,7,4,,
189,7,0,2,0,0,0,1,10,4,,
190,6,0,0,0,0,0,0,6,4,,
191,6,0,0,0,0,0,0,6,5,10,
192,9,0,0,0,0,0,0,9,4,,
193,5,0,0,0,0,0,0,5,4,,
194,7,0,0,0,0,0,0,7,4,8,
195,4,0,0,0,0,0,0,4,4,,
196,2,0,0,0,0,0,0,2,4,,
197,2,0,0,0,0,0,0,2,4,,
198,2,0,0,0,0,0,0,2,4,,
199,6,0,0,0,0,0,0,6,4,,
200,6,0,0,0,0,0,0,6,4,,
201,5,0,0,0,0,0,0,5,4,,
202,3,0,0,0,0,0,0,3,4,,
203,4,0,0,0,0,0,0,4,4,,
204,8,0,0,0,0,0,0,8,4,,
205,7,0,0,0,0,0,0,7,2,,
206,8,0,0,0,0,0,0,8,4,,
207,7,0,0,0,0,0,0,7,5,10,
208,6,0,0,0,0,0,0,6,4,,
209,7,0,0,0,0,0,0,7,4,8,
210,7,0,0,0,0,0,0,7,4,,
211,7,0,0,0,0,0,0,7,2,,
212,6,0,0,0,0,0,0,6,2,7,
213,6,0,0,0,0,0,0,6,4,,
214,5,0,1,0,0,0,0,6,4,,
215,9,0,0,0,0,0,0,9,4,,
216,3,0,0,0,0,0,0,3,4,,
217,6,0,0,0,0,0,0,6,5,9,
218,2,0,0,0,0,0,0,2,4,,
219,2,0,0,0,0,0,0,2,4,,
220,6,0,0,0,0,0,0,6,4,,
221,1,0,3,0,0,0,0,4,4,,
222,7,0,0,0,0,0,0,7,5,10,
223,6,0,0,0,0,0,0,6,4,,
224,4,0,2,0,0,0,0,6,4,,
225,4,0,0,0,0,0,0,4,4,,
226,8,0,1,0,0,0,0,9,4,,
227,7,0,0,0,0,0,0,7,4,,
228,6,0,0,0,0,0,0,6,4,,
229,6,0,0,0,0,0,0,6,4,,
230,3,0,0,0,0,0,1,4,4,,
231,11,0,0,0,0,0,0,11,4,,
232,6,0,0,0,0,0,0,6,4,,
233,6,0,0,0,0,0,0,6,5,10,
234,6,0,0,0,0,0,0,6,4,,
235,5,0,0,0,0,0,0,5,4,,
236,2,0,0,0,0,0,0,2,4,,
237,7,0,0,0,0,0,0,7,4,,
238,6,0,0,0,0,0,0,6,2,7,
239,5,0,1,0,0,0,0,6,4,,
240,9,0,0,0,0,0,0,9,4,,
241,6,0,0,0,0,0,0,6,5,9,
242,2,0,0,0,0,0,0,2,4,,
243,6,0,0,0,0,0,0,6,4,,
244,6,0,0,0,0,0,0,6,5,10,
245,3,0,0,0,0,0,0,3,4,,
246,8,0,1,0,0,0,0,9,4,,
247,4,0,0,0,0,0,1,5,4,,
248,7,0,0,0,0,0,0,7,4,,
249,7,0,0,0,0,0,0,7,4,,
250,6,0,0,0,0,0,1,7,5,10,
251,4,0,0,0,0,0,0,4,4,,
252,5,0,0,0,0,0,0,5,4,,
253,8,0,0,0,0,0,0,8,4,,
254,4,0,0,0,0,0,0,4,4,,
255,10,0,0,0,0,0,0,10,4,,
256,8,0,1,0,0,0,0,9,4,,
257,4,0,1,0,0,0,0,5,4,,
258,7,0,0,0,0,0,0,7,4,,
259,4,0,0,0,0,0,0,4,4,,
260,7,0,3,0,0,0,0,10,2,,
261,3,0,0,0,0,0,0,3,4,,
262,5,0,4,0,0,0,0,9,4,,
263,4,0,0,0,0,0,0,4,4,,
264,5,0,0,0,0,0,0,5,4,,
265,4,0,0,0,0,0,0,4,4,,
266,5,0,0,0,0,0,0,5,4,,
267,8,0,0,1,0,0,0,9,4,,
268,1,0,2,0,0,0,0,3,4,,
269,1,0,0,0,0,0,0,1,2,,
270,5,0,1,0,0,0,0,6,4,,
271,7,0,0,0,0,0,1,8,5,10,
272,6,0,0,0,0,0,0,6,4,,
273,6,0,0,0,0,0,0,6,4,,
274,7,0,0,0,0,0,0,7,4,,
275,3,0,0,0,0,0,0,3,4,,
276,11,0,0,0,0,0,0,11,4,,
277,6,0,0,0,0,0,0,6,4,,
278,6,0,0,0,0,0,0,6,5,10,
279,4,0,0,0,0,0,0,4,4,,
280,7,0,0,0,0,0,0,7,4,,
281,7,0,0,0,0,0,0,7,4,,
282,6,0,0,0,0,0,0,6,5,10,
283,4,0,0,0,0,0,0,4,4,,
284,5,0,0,0,0,0,0,5,4,,
285,1,0,0,0,0,0,0,1,2,,
286,8,0,0,0,0,0,0,8,4,,
287,4,0,0,0,0,0,0,4,4,,
288,6,0,0,0,0,0,0,6,4,,
289,2,0,0,0,0,0,1,3,4,,
290,6,0,0,0,0,0,0,6,4,,
291,5,0,0,0,0,0,0,5,4,,
292,5,0,0,0,0,0,0,5,2,8,
293,6,0,0,0,0,0,0,6,4,,
294,8,0,0,0,0,1,0,9,4,,
295,6,0,0,0,0,0,0,6,2,6,
296,5,0,2,0,0,0,0,7,4,,
297,5,0,2,0,0,0,0,7,4,,
298,9,0,0,0,0,0,0,9,4,,
299,7,0,0,0,0,0,0,7,4,,
300,4,0,0,0,0,0,0,4,4,,
301,6,0,0,0,0,0,0,6,4,,
302,6,0,0,0,0,0,0,6,4,,
303,6,0,0,0,1,0,0,7,4,4,
304,4,0,0,0,0,0,0,4,2,,
305,5,0,0,0,0,0,0,5,4,,
306,6,0,0,0,0,0,0,6,2,,
307,5,0,0,0,0,0,0,5,4,,
308,2,0,0,0,0,0,0,2,4,,
309,5,0,0,0,0,0,0,5,4,,
310,7,0,0,0,0,0,0,7,4,,
311,4,0,0,0,0,0,0,4,4,,
312,4,0,0,0,0,0,0,4,4,,
313,7,0,3,0,0,0,0,10,2,,
314,3,0,0,0,0,0,0,3,4,,
315,4,0,0,0,0,0,0,4,4,,
316,5,0,0,0,0,0,0,5,4,,
317,4,0,0,0,0,0,0,4,4,,
318,5,0,0,0,0,0,0,5,4,,
319,7,0,0,1,0,0,0,8,4,,
320,5,0,1,0,0,0,0,6,4,,
321,8,0,0,0,0,0,0,8,2,,
322,5,0,0,1,0,0,0,6,4,,
323,6,0,0,0,0,0,0,6,4,,
324,4,0,0,0,0,0,0,4,2,,
325,7,0,1,0,0,0,0,8,4,,
326,3,0,0,0,1,0,0,4,4,,
327,3,0,4,0,0,0,0,7,4,,
328,6,0,0,0,0,0,0,6,4,,
329,2,0,2,0,0,0,0,4,4,,
330,4,0,0,0,0,0,0,4,4,,
331,6,0,1,0,0,0,0,7,4,,
332,7,0,0,0,0,0,1,8,5,9,
333,11,0,0,0,0,0,0,11,2,,
334,6,0,0,0,0,0,0,6,2,,
335,11,0,0,0,0,0,0,11,4,,
336,4,0,0,0,1,0,0,5,4,,
337,6,0,0,0,0,0,0,6,4,,
338,6,0,0,0,0,0,0,6,4,,
339,6,0,0,0,0,0,0,6,4,,
340,6,0,0,1,0,0,0,7,5,9,
341,6,0,0,0,0,0,0,6,4,8,
342,6,0,0,0,0,0,1,7,4,8,
343,8,0,2,0,0,0,0,10,4,,
344,7,0,0,0,0,0,0,7,5,9,
345,8,0,0,0,0,0,0,8,4,,
346,6,0,0,0,0,0,0,6,5,10,
347,5,0,0,0,0,0,0,5,4,,
348,4,0,0,0,0,0,0,4,4,,
349,6,0,0,0,0,0,0,6,4,,
350,3,0,0,0,0,0,0,3,4,,
351,6,0,0,0,0,0,0,6,4,,
352,5,0,0,0,0,0,0,5,4,,
353,6,0,0,0,0,0,0,6,2,8,
354,6,0,0,0,0,0,0,6,4,,
355,6,0,1,0,0,0,0,7,2,6,
356,5,0,2,0,0,0,0,7,4,,
357,5,0,1,0,0,0,0,6,4,,
358,6,0,0,0,0,0,0,6,2,7,
359,5,0,0,0,0,0,0,5,4,,
360,7,0,1,0,0,0,0,8,4,,
361,6,0,0,0,0,0,0,6,4,,
362,4,0,0,0,0,0,0,4,4,,
363,3,0,0,0,0,0,0,3,4,,
364,5,0,0,1,0,0,0,6,4,,
365,2,0,0,0,0,0,0,2,4,,
366,6,0,0,0,0,0,0,6,4,,
367,6,0,0,0,0,0,1,7,4,8,
368,8,0,0,0,0,0,0,8,4,,
369,4,0,0,0,0,0,0,4,4,,
370,1,0,0,0,0,0,0,1,4,,
371,4,0,0,0,0,0,0,4,4,,
372,5,0,0,0,0,0,0,5,4,,
373,5,0,0,0,0,0,0,5,4,,
374,6,0,0,0,0,0,0,6,4,,
375,3,0,0,0,0,0,0,3,4,,
376,4,0,0,0,0,0,0,4,4,,
377,6,0,0,0,0,0,0,6,5,9,
378,10,0,0,0,0,0,0,10,4,,
379,3,0,0,0,0,0,0,3,4,,
380,3,0,0,0,0,1,0,4,4,,
381,6,0,0,0,0,0,0,6,4,,
382,3,0,0,0,0,0,0,3,2,,
383,4,0,0,0,0,0,0,4,4,,
384,6,0,0,0,0,0,0,6,4,,
385,6,0,0,0,1,0,0,7,4,4,
386,2,0,0,0,0,0,0,2,4,,
387,7,0,0,0,0,0,0,7,4,,
388,4,0,0,0,0,0,0,4,2,,
389,6,0,0,0,0,0,0,6,4,,
390,2,0,2,0,0,0,0,4,4,,
391,4,0,0,0,0,0,0,4,4,,
392,7,0,0,0,0,0,0,7,5,9,
393,10,0,0,0,0,0,0,10,2,,
394,6,0,0,0,0,0,0,6,2,,
395,2,0,0,0,0,0,0,2,4,,
396,5,0,0,0,0,0,0,5,4,,
397,5,0,0,0,0,0,0,5,4,,
398,6,0,0,0,0,0,0,6,2,,
399,3,0,2,0,0,0,0,5,2,,
400,4,0,0,0,0,0,0,4,4,,
401,3,0,2,0,0,0,0,5,4,,
402,4,0,0,0,0,0,0,4,4,,
403,3,0,0,0,0,0,0,3,4,,
404,2,0,1,0,0,0,0,3,2,,
